,Generation id,Number of archives,Average fog amount for whole generation,Name of the individual,Fog density of failure version,Fog density of successful version,Average fog density of individual,standard deviation
218,32,12,0.15825582581755313,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
219,32,12,0.15825582581755313,ind149,0.16163948119333268,0.1466394811933327,0.1541394811933327,0.007499999999999993
220,32,12,0.15825582581755313,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
221,32,12,0.15825582581755313,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
222,32,12,0.15825582581755313,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
223,32,12,0.15825582581755313,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
224,32,12,0.15825582581755313,ind415,0.22824904545663033,0.15324904545663032,0.19074904545663032,0.037500000000000006
226,32,12,0.15825582581755313,ind447,0.12256613687121136,0.10756613687121136,0.11506613687121137,0.0075
239,33,12,0.15950582581755313,ind552,0.09641136254094466,0.03641136254094466,0.06641136254094467,0.030000000000000002
235,33,12,0.15950582581755313,ind286,0.22341087040985497,0.16341087040985497,0.19341087040985497,0.03
234,33,12,0.15950582581755313,ind274,0.10778976906054667,0.09278976906054667,0.10028976906054668,0.0075
233,33,12,0.15950582581755313,ind249,0.17490455070797883,0.08490455070797882,0.12990455070797882,0.045000000000000005
232,33,12,0.15950582581755313,ind156,0.1797881243696391,0.08978812436963911,0.1347881243696391,0.04499999999999999
237,33,12,0.15950582581755313,ind433,0.28077479625329504,0.26577479625329503,0.27327479625329504,0.007500000000000007
230,33,12,0.15950582581755313,ind133,0.19496284112062276,0.13496284112062276,0.16496284112062276,0.03
229,33,12,0.15950582581755313,ind116,0.24122930558996464,0.21122930558996464,0.22622930558996462,0.015
228,33,12,0.15950582581755313,ind107,0.2023436262366165,0.12734362623661652,0.16484362623661653,0.03749999999999999
